PROJECT	PROJECT	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.15223097112860892, 0.27, 0.22440944881889763, 0.286]	line-line	header-question	-0.1509	0.087	-0.2231	0.091	-0.2966	0.103	0
PROJECT	INITIATION	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.4566929133858268, 0.183, 0.5616797900262467, 0.196]	no-link	header-header	-0.0079	-0.0814	-0.1864	0.0	-0.001	0.012	0
PROJECT	April	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.6338582677165354, 0.27, 0.6850393700787402, 0.286]	no-link	header-answer	-0.185	-0.2585	-0.3097	-0.087	-0.091	-0.075	0
PROJECT	30,	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.6968503937007874, 0.27, 0.7244094488188977, 0.285]	no-link	header-answer	-0.248	-0.3215	-0.3491	-0.087	-0.09	-0.075	0
PROJECT	DATE	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.5761154855643045, 0.273, 0.6220472440944882, 0.286]	no-link	header-answer	-0.1273	-0.2008	-0.2467	-0.09	-0.091	-0.078	0
PROJECT	PALL	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.36089238845144356, 0.309, 0.40288713910761154, 0.322]	no-link	header-answer	0.0879	0.0144	-0.0276	-0.126	-0.127	-0.114	0
PROJECT	MALL	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.4120734908136483, 0.309, 0.4540682414698163, 0.324]	no-link	header-answer	0.0367	-0.0367	-0.0787	-0.126	-0.129	-0.114	0
PROJECT	Regular	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.46194225721784776, 0.309, 0.5354330708661418, 0.322]	no-link	header-answer	-0.0131	-0.0866	-0.1601	-0.126	-0.127	-0.114	0
PROJECT	J.	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.35826771653543305, 0.348, 0.3805774278215223, 0.363]	no-link	header-answer	0.0906	0.0171	-0.0052	-0.165	-0.168	-0.153	0
PROJECT	F.	[0.3753280839895013, 0.183, 0.44881889763779526, 0.195]	[0.38976377952755903, 0.348, 0.410761154855643, 0.361]	no-link	header-answer	0.0591	-0.0144	-0.0354	-0.165	-0.166	-0.153	0
